#Release 12.4 - par M.81d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Sun Oct 06 08:26:36 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       LeftShifter_map.ncd
#OUTPUT FILE:      LeftShifter_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -4
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,
P3,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,
P4,out<12>,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P5,,DIFFS,IO_L16N_7,UNUSED,,7,,,,,,,,,
P6,,,VCCO_7,,,7,,,,,2.50,,,,
P7,out<19>,IOB,IO_L19P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P8,,,GND,,,,,,,,,,,,
P9,sha<3>,IOB,IO_L19N_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
P10,out<17>,IOB,IO_L20P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P11,,DIFFS,IO_L20N_7,UNUSED,,7,,,,,,,,,
P12,out<21>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P13,out<13>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,out<6>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P16,out<24>,IOB,IO_L22N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P17,,,VCCAUX,,,,,,,,2.5,,,,
P18,out<23>,IOB,IO_L23P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P19,out<22>,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P20,out<28>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P21,out<31>,IOB,IO_L24N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P22,out<26>,IOB,IO_L39P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P23,,,VCCO_7,,,7,,,,,2.50,,,,
P24,out<20>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,out<25>,IOB,IO_L40P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P27,out<18>,IOB,IO_L40N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P28,out<27>,IOB,IO_L40P_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P29,out<10>,IOB,IO_L40N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P30,,,GND,,,,,,,,,,,,
P31,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,
P32,,,VCCO_6,,,6,,,,,2.50,,,,
P33,out<29>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P34,sha<1>,IOB,IO_L24P_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
P35,,DIFFS,IO_L24N_6/VREF_6,UNUSED,,6,,,,,,,,,
P36,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,
P37,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,
P38,,,VCCAUX,,,,,,,,2.5,,,,
P39,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,
P40,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,
P41,,,GND,,,,,,,,,,,,
P42,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,
P43,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,
P44,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,
P45,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,
P46,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,
P47,,,GND,,,,,,,,,,,,
P48,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,
P49,,,VCCO_6,,,6,,,,,2.50,,,,
P50,,DIFFM,IO/VREF_6,UNUSED,,6,,,,,,,,,
P51,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,
P52,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,
P53,,,GND,,,,,,,,,,,,
P54,,,M1,,,,,,,,,,,,
