#Release 12.4 - par M.81d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Mon Oct 21 15:15:03 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       RegFile_map.ncd
#OUTPUT FILE:      RegFile_pad.csv
#PART TYPE:        xc3s1000l
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
A4,writeData<21>,IOB,IO_L01P_0/VRN_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
A5,reData1<6>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,reData1<30>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,reData2<18>,IOB,IO_L32P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A9,reData2<21>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A10,reData1<20>,IOB,IO_L31N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,writeData<10>,IOB,IO_L01P_7/VRN_7,INPUT,LVCMOS25*,7,,,,NONE,,UNLOCATED,NO,NONE,
B2,,,GND,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,
B4,writeData<6>,IOB,IO_L01N_0/VRP_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B5,reData2<1>,IOB,IO_L25P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B6,read2Add<2>,IOB,IO_L28P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B7,reData2<4>,IOB,IO_L30P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B8,,DIFFS,IO_L32N_0/GCLK7,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,reData1<18>,IOB,IO_L31P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B11,reData1<21>,IOB,IO_L29N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
